state_id,name,census_id
1,"Florence-Muscle Shoals, AL",22520
1,"Huntsville, AL",26620
1,"Dothan, AL",20020
1,"Auburn-Opelika, AL",12220
1,"Mobile, AL",33660
1,"Anniston-Oxford, AL",11500
1,"Tuscaloosa, AL",46220
1,"Birmingham-Hoover, AL",13820
1,"Decatur, AL",19460
1,"Montgomery, AL",33860
1,"Gadsden, AL",23460
2,"Fairbanks, AK",21820
2,"Anchorage, AK",11260
4,"Phoenix-Mesa-Glendale, AZ",38060
4,"Yuma, AZ",49740
4,"Flagstaff, AZ",22380
4,"Lake Havasu City-Kingman, AZ",29420
4,"Prescott, AZ",39140
4,"Tucson, AZ",46060
5,"Jonesboro, AR",27860
5,"Pine Bluff, AR",38220
5,"Hot Springs, AR",26300
5,"Fayetteville-Springdale-Rogers, AR-MO",22220
5,"Fort Smith, AR-OK",22900
5,"Little Rock-North Little Rock-Conway, AR",30780
6,"Visalia-Porterville, CA",47300
6,"El Centro, CA",20940
6,"Madera-Chowchilla, CA",31460
6,"Modesto, CA",33700
6,"Yuba City, CA",49700
6,"Bakersfield-Delano, CA",12540
6,"Chico, CA",17020
6,"Napa, CA",34900
6,"San Luis Obispo-Paso Robles, CA",42020
6,"Los Angeles-Long Beach-Santa Ana, CA",31100
6,"Salinas, CA",41500
6,"Sacramento--Arden-Arcade--Roseville, CA",40900
6,"Stockton, CA",44700
6,"Merced, CA",32900
6,"San Diego-Carlsbad-San Marcos, CA",41740
6,"Hanford-Corcoran, CA",25260
6,"Riverside-San Bernardino-Ontario, CA",40140
6,"Vallejo-Fairfield, CA",46700
6,"Fresno, CA",23420
6,"San Francisco-Oakland-Fremont, CA",41860
6,"San Jose-Sunnyvale-Santa Clara, CA",41940
6,"Santa Barbara-Santa Maria-Goleta, CA",42060
6,"Oxnard-Thousand Oaks-Ventura, CA",37100
6,"Santa Cruz-Watsonville, CA",42100
6,"Santa Rosa-Petaluma, CA",42220
6,"Redding, CA",39820
8,"Greeley, CO",24540
8,"Pueblo, CO",39380
8,"Grand Junction, CO",24300
8,"Fort Collins-Loveland, CO",22660
8,"Denver-Aurora-Broomfield, CO",19740
8,"Boulder, CO",14500
8,"Colorado Springs, CO",17820
9,"Norwich-New London, CT",35980
9,"Hartford-West Hartford-East Hartford, CT",25540
9,"New Haven-Milford, CT",35300
9,"Bridgeport-Stamford-Norwalk, CT",14860
10,"Dover, DE",20100
11,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900
12,"Tallahassee, FL",45220
12,"Punta Gorda, FL",39460
12,"Port St. Lucie, FL",38940
12,"Gainesville, FL",23540
12,"Crestview-Fort Walton Beach-Destin, FL",18880
12,"Lakeland-Winter Haven, FL",29460
12,"North Port-Bradenton-Sarasota, FL",35840
12,"Palm Bay-Melbourne-Titusville, FL",37340
12,"Tampa-St. Petersburg-Clearwater, FL",45300
12,"Jacksonville, FL",27260
12,"Deltona-Daytona Beach-Ormond Beach, FL",19660
12,"Pensacola-Ferry Pass-Brent, FL",37860
12,"Naples-Marco Island, FL",34940
12,"Cape Coral-Fort Myers, FL",15980
12,"Sebastian-Vero Beach, FL",42680
12,"Orlando-Kissimmee-Sanford, FL",36740
12,"Palm Coast, FL",37380
12,"Panama City-Lynn Haven-Panama City Beach, FL",37460
12,"Ocala, FL",36100
12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100
13,"Albany, GA",10500
13,"Dalton, GA",19140
13,"Brunswick, GA",15260
13,"Rome, GA",40660
13,"Columbus, GA-AL",17980
13,"Atlanta-Sandy Springs-Marietta, GA",12060
13,"Savannah, GA",42340
13,"Macon, GA",31420
13,"Gainesville, GA",23580
13,"Athens-Clarke County, GA",12020
13,"Augusta-Richmond County, GA-SC",12260
13,"Hinesville-Fort Stewart, GA",25980
13,"Warner Robins, GA",47580
13,"Valdosta, GA",46660
15,"Honolulu, HI",26180
16,"Pocatello, ID",38540
16,"Boise City-Nampa, ID",14260
16,"Lewiston, ID-WA",30300
16,"Idaho Falls, ID",26820
16,"Coeur d'Alene, ID",17660
17,"Rockford, IL",40420
17,"Chicago-Joliet-Naperville, IL-IN-WI",16980
17,"Bloomington-Normal, IL",14060
17,"Springfield, IL",44100
17,"Danville, IL",19180
17,"Kankakee-Bradley, IL",28100
17,"Peoria, IL",37900
17,"Decatur, IL",19500
17,"Champaign-Urbana, IL",16580
18,"Fort Wayne, IN",23060
18,"Terre Haute, IN",45460
18,"Evansville, IN-KY",21780
18,"South Bend-Mishawaka, IN-MI",43780
18,"Michigan City-La Porte, IN",33140
18,"Anderson, IN",11300
18,"Columbus, IN",18020
18,"Lafayette, IN",29140
18,"Elkhart-Goshen, IN",21140
18,"Indianapolis-Carmel, IN",26900
18,"Muncie, IN",34620
18,"Kokomo, IN",29020
18,"Bloomington, IN",14020
19,"Waterloo-Cedar Falls, IA",47940
19,"Davenport-Moline-Rock Island, IA-IL",19340
19,"Ames, IA",11180
19,"Sioux City, IA-NE-SD",43580
19,"Des Moines-West Des Moines, IA",19780
19,"Cedar Rapids, IA",16300
19,"Dubuque, IA",20220
19,"Iowa City, IA",26980
20,"Topeka, KS",45820
20,"Wichita, KS",48620
20,"Lawrence, KS",29940
20,"Manhattan, KS",31740
21,"Bowling Green, KY",14540
21,"Elizabethtown, KY",21060
21,"Louisville/Jefferson County, KY-IN",31140
21,"Owensboro, KY",36980
21,"Lexington-Fayette, KY",30460
22,"Lafayette, LA",29180
22,"Baton Rouge, LA",12940
22,"Shreveport-Bossier City, LA",43340
22,"New Orleans-Metairie-Kenner, LA",35380
22,"Lake Charles, LA",29340
22,"Monroe, LA",33740
22,"Alexandria, LA",10780
22,"Houma-Bayou Cane-Thibodaux, LA",26380
23,"Lewiston-Auburn, ME",30340
23,"Portland-South Portland-Biddeford, ME",38860
23,"Bangor, ME",12620
24,"Cumberland, MD-WV",19060
24,"Salisbury, MD",41540
24,"Hagerstown-Martinsburg, MD-WV",25180
24,"Baltimore-Towson, MD",12580
25,"Boston-Cambridge-Quincy, MA-NH",14460
25,"Pittsfield, MA",38340
25,"Barnstable Town, MA",12700
25,"Springfield, MA",44140
25,"Worcester, MA",49340
26,"Monroe, MI",33780
26,"Niles-Benton Harbor, MI",35660
26,"Jackson, MI",27100
26,"Holland-Grand Haven, MI",26100
26,"Grand Rapids-Wyoming, MI",24340
26,"Kalamazoo-Portage, MI",28020
26,"Lansing-East Lansing, MI",29620
26,"Muskegon-Norton Shores, MI",34740
26,"Battle Creek, MI",12980
26,"Ann Arbor, MI",11460
26,"Flint, MI",22420
26,"Bay City, MI",13020
26,"Saginaw-Saginaw Township North, MI",40980
26,"Detroit-Warren-Livonia, MI",19820
27,"St. Cloud, MN",41060
27,"Mankato-North Mankato, MN",31860
27,"Rochester, MN",40340
27,"Minneapolis-St. Paul-Bloomington, MN-WI",33460
27,"Duluth, MN-WI",20260
28,"Hattiesburg, MS",25620
28,"Jackson, MS",27140
28,"Pascagoula, MS",37700
28,"Gulfport-Biloxi, MS",25060
29,"Cape Girardeau-Jackson, MO-IL",16020
29,"St. Louis, MO-IL",41180
29,"Jefferson City, MO",27620
29,"St. Joseph, MO-KS",41140
29,"Springfield, MO",44180
29,"Columbia, MO",17860
29,"Joplin, MO",27900
29,"Kansas City, MO-KS",28140
30,"Billings, MT",13740
30,"Missoula, MT",33540
30,"Great Falls, MT",24500
31,"Omaha-Council Bluffs, NE-IA",36540
31,"Lincoln, NE",30700
32,"Carson City, NV",16180
32,"Las Vegas-Paradise, NV",29820
32,"Reno-Sparks, NV",39900
33,"Manchester-Nashua, NH",31700
34,"Ocean City, NJ",36140
34,"Trenton-Ewing, NJ",45940
34,"Vineland-Millville-Bridgeton, NJ",47220
34,"Atlantic City-Hammonton, NJ",12100
35,"Las Cruces, NM",29740
35,"Farmington, NM",22140
35,"Santa Fe, NM",42140
35,"Albuquerque, NM",10740
36,"Albany-Schenectady-Troy, NY",10580
36,"Poughkeepsie-Newburgh-Middletown, NY",39100
36,"Elmira, NY",21300
36,"Glens Falls, NY",24020
36,"Syracuse, NY",45060
36,"Rochester, NY",40380
36,"Kingston, NY",28740
36,"Buffalo-Niagara Falls, NY",15380
36,"Utica-Rome, NY",46540
36,"Binghamton, NY",13780
36,"Ithaca, NY",27060
36,"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620
37,"Fayetteville, NC",22180
37,"Raleigh-Cary, NC",39580
37,"Burlington, NC",15500
37,"Greenville, NC",24780
37,"Greensboro-High Point, NC",24660
37,"Rocky Mount, NC",40580
37,"Durham-Chapel Hill, NC",20500
37,"Goldsboro, NC",24140
37,"Hickory-Lenoir-Morganton, NC",25860
37,"Jacksonville, NC",27340
37,"Asheville, NC",11700
37,"Charlotte-Gastonia-Rock Hill, NC-SC",16740
37,"Winston-Salem, NC",49180
37,"Wilmington, NC",48900
38,"Bismarck, ND",13900
38,"Grand Forks, ND-MN",24220
38,"Fargo, ND-MN",22020
39,"Lima, OH",30620
39,"Springfield, OH",44220
39,"Cincinnati-Middletown, OH-KY-IN",17140
39,"Cleveland-Elyria-Mentor, OH",17460
39,"Columbus, OH",18140
39,"Canton-Massillon, OH",15940
39,"Akron, OH",10420
39,"Toledo, OH",45780
39,"Mansfield, OH",31900
39,"Steubenville-Weirton, OH-WV",44600
39,"Dayton, OH",19380
39,"Sandusky, OH",41780
39,"Youngstown-Warren-Boardman, OH-PA",49660
40,"Lawton, OK",30020
40,"Oklahoma City, OK",36420
40,"Tulsa, OK",46140
41,"Salem, OR",41420
41,"Portland-Vancouver-Hillsboro, OR-WA",38900
41,"Bend, OR",13460
41,"Corvallis, OR",18700
41,"Medford, OR",32780
41,"Eugene-Springfield, OR",21660
42,"Lancaster, PA",29540
42,"Erie, PA",21500
42,"Harrisburg-Carlisle, PA",25420
42,"Lebanon, PA",30140
42,"Altoona, PA",11020
42,"Reading, PA",39740
42,"State College, PA",44300
42,"Scranton--Wilkes-Barre, PA",42540
42,"Allentown-Bethlehem-Easton, PA-NJ",10900
42,"York-Hanover, PA",49620
42,"Pittsburgh, PA",38300
42,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980
42,"Johnstown, PA",27780
42,"Williamsport, PA",48700
44,"Providence-New Bedford-Fall River, RI-MA",39300
45,"Florence, SC",22500
45,"Sumter, SC",44940
45,"Spartanburg, SC",43900
45,"Columbia, SC",17900
45,"Myrtle Beach-North Myrtle Beach-Conway, SC",34820
45,"Charleston-North Charleston-Summerville, SC",16700
45,"Greenville-Mauldin-Easley, SC",24860
45,"Anderson, SC",11340
46,"Sioux Falls, SD",43620
46,"Rapid City, SD",39660
47,"Clarksville, TN-KY",17300
47,"Cleveland, TN",17420
47,"Chattanooga, TN-GA",16860
47,"Knoxville, TN",28940
47,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980
47,"Memphis, TN-MS-AR",32820
47,"Jackson, TN",27180
47,"Morristown, TN",34100
47,"Kingsport-Bristol-Bristol, TN-VA",28700
47,"Johnson City, TN",27740
48,"College Station-Bryan, TX",17780
48,"El Paso, TX",21340
48,"Lubbock, TX",31180
48,"Corpus Christi, TX",18580
48,"Wichita Falls, TX",48660
48,"Abilene, TX",10180
48,"Killeen-Temple-Fort Hood, TX",28660
48,"Longview, TX",30980
48,"Victoria, TX",47020
48,"Houston-Sugar Land-Baytown, TX",26420
48,"Austin-Round Rock-San Marcos, TX",12420
48,"Odessa, TX",36220
48,"Beaumont-Port Arthur, TX",13140
48,"Waco, TX",47380
48,"Dallas-Fort Worth-Arlington, TX",19100
48,"Amarillo, TX",11100
48,"Brownsville-Harlingen, TX",15180
48,"San Antonio-New Braunfels, TX",41700
48,"Tyler, TX",46340
48,"Sherman-Denison, TX",43300
48,"McAllen-Edinburg-Mission, TX",32580
48,"San Angelo, TX",41660
48,"Texarkana, TX-Texarkana, AR",45500
48,"Laredo, TX",29700
48,"Midland, TX",33260
49,"Ogden-Clearfield, UT",36260
49,"St. George, UT",41100
49,"Logan, UT-ID",30860
49,"Salt Lake City, UT",41620
49,"Provo-Orem, UT",39340
50,"Burlington-South Burlington, VT",15540
51,"Winchester, VA-WV",49020
51,"Virginia Beach-Norfolk-Newport News, VA-NC",47260
51,"Roanoke, VA",40220
51,"Blacksburg-Christiansburg-Radford, VA",13980
51,"Richmond, VA",40060
51,"Charlottesville, VA",16820
51,"Harrisonburg, VA",25500
51,"Danville, VA",19260
51,"Lynchburg, VA",31340
53,"Mount Vernon-Anacortes, WA",34580
53,"Kennewick-Pasco-Richland, WA",28420
53,"Olympia, WA",36500
53,"Bellingham, WA",13380
53,"Longview, WA",31020
53,"Yakima, WA",49420
53,"Spokane, WA",44060
53,"Bremerton-Silverdale, WA",14740
53,"Seattle-Tacoma-Bellevue, WA",42660
53,"Wenatchee-East Wenatchee, WA",48300
54,"Parkersburg-Marietta-Vienna, WV-OH",37620
54,"Wheeling, WV-OH",48540
54,"Huntington-Ashland, WV-KY-OH",26580
54,"Morgantown, WV",34060
54,"Charleston, WV",16620
55,"Fond du Lac, WI",22540
55,"Janesville, WI",27500
55,"Madison, WI",31540
55,"Racine, WI",39540
55,"Appleton, WI",11540
55,"La Crosse, WI-MN",29100
55,"Wausau, WI",48140
55,"Eau Claire, WI",20740
55,"Green Bay, WI",24580
55,"Oshkosh-Neenah, WI",36780
55,"Milwaukee-Waukesha-West Allis, WI",33340
55,"Sheboygan, WI",43100
56,"Cheyenne, WY",16940
56,"Casper, WY",16220